maven/mavencentral/io.kamon/kamon-core_2.13/2.1.4, Apache-2.0 AND CC0-1.0, approved, CQ22428
maven/mavencentral/io.kamon/kamon-prometheus_2.13/2.1.4, Apache-2.0, approved, CQ22429
maven/mavencentral/io.kamon/kamon-system-metrics_2.13/2.1.4, Apache-2.0, approved, CQ22430
maven/mavencentral/io.netty/netty-buffer/4.1.59.Final, Apache-2.0, approved, CQ21842
maven/mavencentral/io.netty/netty-codec/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-codec-http/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-common/4.1.59.Final, Apache-2.0 AND MIT AND CC0-1.0, approved, CQ21843
maven/mavencentral/io.netty/netty-handler/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-resolver/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-epoll/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-kqueue/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.netty/netty-transport-native-unix-common/4.1.59.Final, Apache-2.0 AND BSD-3-Clause AND MIT, approved, CQ20926
maven/mavencentral/io.reactivex.rxjava2/rxjava/2.2.19, Apache-2.0, approved, clearlydefined
maven/mavencentral/io.spray/spray-json_2.13/1.3.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/javax.inject/javax.inject/1, Apache-2.0, approved, CQ3555
maven/mavencentral/nl.grons/metrics4-akka_a25_2.13/4.1.14, Apache-2.0, approved, CQ22434
maven/mavencentral/nl.grons/metrics4-scala_2.13/4.1.14, Apache-2.0, approved, CQ22435
maven/mavencentral/org.agrona/agrona/1.9.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-jms_2.0_spec/1.0-alpha-2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.kafka/kafka-clients/2.5.1, Apache-2.0 AND BSD-2-Clause AND BSD-3-Clause AND CDDL-1.1, approved, clearlydefined
